% Service logfile
% 1 	Time (sec)
% 2 	Message
1740753059.0092 Setup finished OK=1
1740756545.9853 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9851139
1740753062.1567 Lost Master, alive since 2025-02-28 16:29:02.818042
1740756545.9951 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9949856
1740756546.0060 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.0058563
1740756546.0160 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.015765
1740756546.0260 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.0257802
1740756546.0367 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.036525
1740756546.0475 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.0468786
1740756546.0551 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.0549788
1740756546.0660 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.0658562
1740756546.0761 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756546.0759544
