% Motor voltage for all motors
% 1 	Time (sec)
% 2-3 	Voltage to motor (to Teensy) 1,2 (Volt)
% 4-5 	Voltage to motor (from Teensy) 1,2 (Volt)
% 6-7 	PWM to motor (+/- 2096) (from Teensy) 1,2
% 8 	Relax motor controller (standing still for some time)
1740133744.8326 0.80 1.94 0.90 1.90 0 0 0
1740133744.8433 0.80 1.94 0.80 1.90 0 0 0
1740133744.8475 0.72 1.96 0.80 1.90 0 0 0
1740133744.8631 0.69 1.91 0.80 1.90 0 0 0
1740133744.8683 0.69 1.91 0.69 1.90 0 0 0
1740133744.8768 0.83 1.84 0.69 1.90 0 0 0
1740133744.8919 0.96 1.87 0.69 1.90 0 0 0
1740133744.8935 0.96 1.87 0.96 1.90 0 0 0
1740133744.9080 0.90 1.86 0.96 1.90 0 0 0
1740133744.9181 0.90 1.86 0.90 1.90 0 0 0
1740133744.9220 2.54 0.12 0.90 1.90 0 0 0
1740133744.9372 2.60 -0.04 0.90 1.90 0 0 0
1740133744.9436 2.60 -0.04 2.60 -0.04 0 0 0
1740133744.9523 2.46 0.56 2.60 -0.04 0 0 0
1740133744.9668 2.72 0.45 2.60 -0.04 0 0 0
1740133744.9687 2.72 0.45 2.70 0.45 0 0 0
1740133744.9829 2.36 -0.27 2.70 0.45 0 0 0
1740133744.9937 2.36 -0.27 2.40 -0.27 0 0 0
1740133744.9975 2.18 0.10 2.40 -0.27 0 0 0
1740133745.0113 2.58 0.49 2.40 -0.27 0 0 0
1740133745.0188 2.58 0.49 2.60 0.49 0 0 0
1740133745.0274 2.15 0.12 2.60 0.49 0 0 0
1740133745.0424 2.28 0.38 2.60 0.49 0 0 0
1740133745.0439 2.28 0.38 2.30 0.38 0 0 0
1740133745.0574 2.33 0.53 2.30 0.38 0 0 0
1740133745.0688 2.33 0.53 2.30 0.53 0 0 0
1740133745.0722 2.12 0.41 2.30 0.53 0 0 0
1740133745.0872 2.19 0.63 2.30 0.53 0 0 0
1740133745.0937 2.19 0.63 2.20 0.63 0 0 0
1740133745.1016 2.10 0.78 2.20 0.63 0 0 0
1740133745.1176 1.95 0.64 2.20 0.63 0 0 0
1740133745.1192 1.95 0.64 2.00 0.64 0 0 0
1740133745.1326 2.00 0.76 2.00 0.64 0 0 0
1740133745.1431 2.00 0.76 2.00 0.76 0 0 0
1740133745.1476 2.05 0.87 2.00 0.76 0 0 0
1740133745.1620 1.91 0.73 2.00 0.76 0 0 0
1740133745.1691 1.91 0.73 1.90 0.73 0 0 0
1740133745.1780 1.96 0.69 1.90 0.73 0 0 0
1740133745.1919 1.93 0.78 1.90 0.73 0 0 0
1740133745.1931 1.93 0.78 1.90 0.78 0 0 0
1740133745.2072 1.90 0.77 1.90 0.78 0 0 0
1740133745.2183 1.90 0.77 1.90 0.77 0 0 0
1740133745.2221 1.90 0.70 1.90 0.77 0 0 0
1740133745.2378 1.97 0.75 1.90 0.77 0 0 0
1740133745.2434 1.97 0.75 2.00 0.75 0 0 0
1740133745.2518 1.93 0.73 2.00 0.75 0 0 0
1740133745.2674 1.93 0.69 2.00 0.75 0 0 0
1740133745.2685 1.93 0.69 1.90 0.69 0 0 0
1740133745.2824 1.95 0.81 1.90 0.69 0 0 0
1740133745.2936 1.95 0.81 2.00 0.81 0 0 0
1740133745.2973 1.98 0.84 2.00 0.81 0 0 0
1740133745.3124 1.91 0.74 2.00 0.81 0 0 0
1740133745.3190 1.91 0.74 1.90 0.74 0 0 0
1740133745.3282 1.90 0.85 1.90 0.74 0 0 0
1740133745.3420 1.86 0.93 1.90 0.74 0 0 0
1740133745.3439 1.86 0.93 1.90 0.93 0 0 0
1740133745.3578 1.78 0.93 1.90 0.93 0 0 0
1740133745.3689 1.78 0.93 1.80 0.93 0 0 0
1740133745.3727 1.80 0.85 1.80 0.93 0 0 0
1740133745.3871 1.74 0.95 1.80 0.93 0 0 0
1740133745.3941 1.74 0.95 1.70 0.95 0 0 0
1740133745.4020 1.71 1.06 1.70 0.95 0 0 0
1740133745.4181 1.68 1.05 1.70 0.95 0 0 0
1740133745.4191 1.68 1.05 1.70 1.00 0 0 0
1740133745.4322 1.61 1.01 1.70 1.00 0 0 0
1740133745.4444 1.61 1.01 1.60 1.00 0 0 0
1740133745.4477 1.59 1.02 1.60 1.00 0 0 0
1740133745.4628 1.57 1.29 1.60 1.00 0 0 0
1740133745.4696 1.57 1.29 1.60 1.30 0 0 0
1740133745.4774 1.51 1.48 1.60 1.30 0 0 0
1740133745.4923 1.51 1.56 1.60 1.30 0 0 0
1740133745.4938 1.51 1.56 1.50 1.60 0 0 0
1740133745.5080 1.44 1.67 1.50 1.60 0 0 0
1740133745.5193 1.44 1.67 1.40 1.70 0 0 0
1740133745.5227 0.18 2.91 1.40 1.70 0 0 0
1740133745.5376 -0.11 2.95 1.40 1.70 0 0 0
1740133745.5439 -0.11 2.95 -0.11 3.00 0 0 0
1740133745.5521 -0.13 2.90 -0.11 3.00 0 0 0
1740133745.5682 0.17 2.75 -0.11 3.00 0 0 0
1740133745.5694 0.17 2.75 0.17 2.80 0 0 0
1740133745.5821 0.15 2.42 0.17 2.80 0 0 0
1740133745.5937 0.15 2.42 0.15 2.40 0 0 0
1740133745.5982 0.10 2.31 0.15 2.40 0 0 0
1740133745.6115 0.37 2.51 0.15 2.40 0 0 0
1740133745.6190 0.37 2.51 0.37 2.50 0 0 0
1740133745.6279 0.21 2.25 0.37 2.50 0 0 0
1740133745.6428 0.21 2.18 0.37 2.50 0 0 0
1740133745.6445 0.21 2.18 0.21 2.20 0 0 0
1740133745.6577 0.41 2.20 0.21 2.20 0 0 0
1740133745.6689 0.41 2.20 0.41 2.20 0 0 0
1740133745.6726 0.47 2.01 0.41 2.20 0 0 0
1740133745.6876 0.47 1.98 0.41 2.20 0 0 0
1740133745.6943 0.47 1.98 0.47 2.00 0 0 0
1740133745.7030 0.49 2.05 0.47 2.00 0 0 0
1740133745.7175 0.55 2.00 0.47 2.00 0 0 0
1740133745.7191 0.55 2.00 0.55 2.00 0 0 0
1740133745.7330 0.57 1.96 0.55 2.00 0 0 0
1740133745.7443 0.57 1.96 0.57 2.00 0 0 0
1740133745.7481 0.70 1.92 0.57 2.00 0 0 0
1740133745.7624 0.89 1.79 0.57 2.00 0 0 0
1740133745.7696 0.89 1.79 0.89 1.80 0 0 0
1740133745.7775 0.80 1.78 0.89 1.80 0 0 0
1740133745.7925 0.73 1.81 0.89 1.80 0 0 0
1740133745.7941 0.73 1.81 0.73 1.80 0 0 0
1740133745.8077 0.90 1.73 0.73 1.80 0 0 0
1740133745.8188 0.90 1.73 0.90 1.70 0 0 0
1740133745.8236 1.10 1.75 0.90 1.70 0 0 0
1740133745.8382 1.09 1.66 0.90 1.70 0 0 0
1740133745.8442 1.09 1.66 1.10 1.70 0 0 0
1740133745.8524 0.90 1.63 1.10 1.70 0 0 0
1740133745.8686 0.88 1.64 1.10 1.70 0 0 0
1740133745.8695 0.88 1.64 0.90 1.60 0 0 0
1740133745.8820 1.20 1.63 0.90 1.60 0 0 0
1740133745.8939 1.20 1.63 1.20 1.60 0 0 0
1740133745.8980 1.35 1.60 1.20 1.60 0 0 0
1740133745.9125 1.27 1.56 1.20 1.60 0 0 0
1740133745.9196 1.27 1.56 1.30 1.60 0 0 0
1740133745.9283 1.45 1.49 1.30 1.60 0 0 0
1740133745.9431 1.50 1.48 1.30 1.60 0 0 0
1740133745.9439 1.50 1.48 1.50 1.50 0 0 0
1740133745.9583 1.56 1.30 1.50 1.50 0 0 0
1740133745.9687 1.56 1.30 1.60 1.30 0 0 0
1740133745.9725 1.55 1.20 1.60 1.30 0 0 0
1740133745.9885 1.59 1.19 1.60 1.30 0 0 0
1740133745.9939 1.59 1.19 1.60 1.20 0 0 0
1740133746.0034 1.52 1.13 1.60 1.20 0 0 0
1740133746.0184 1.56 1.14 1.60 1.20 0 0 0
1740133746.0191 1.56 1.14 1.60 1.10 0 0 0
1740133746.0328 1.55 1.14 1.60 1.10 0 0 0
1740133746.0443 1.55 1.14 1.50 1.10 0 0 0
1740133746.0489 1.58 1.11 1.50 1.10 0 0 0
1740133746.0628 1.63 1.17 1.50 1.10 0 0 0
1740133746.0696 1.63 1.17 1.60 1.20 0 0 0
1740133746.0777 1.67 1.15 1.60 1.20 0 0 0
1740133746.0938 1.67 1.15 1.70 1.10 0 0 0
1740133746.0938 1.58 1.14 1.70 1.10 0 0 0
1740133746.1080 1.67 1.18 1.70 1.10 0 0 0
1740133746.1187 1.67 1.18 1.70 1.20 0 0 0
1740133746.1230 1.71 1.17 1.70 1.20 0 0 0
1740133746.1386 2.41 0.36 1.70 1.20 0 0 0
1740133746.1444 2.41 0.36 2.40 0.36 0 0 0
1740133746.1530 2.51 0.29 2.40 0.36 0 0 0
1740133746.1681 2.53 0.27 2.40 0.36 0 0 0
1740133746.1692 2.53 0.27 2.50 0.27 0 0 0
1740133746.1839 2.38 0.17 2.50 0.27 0 0 0
1740133746.1940 2.38 0.17 2.40 0.17 0 0 0
1740133746.1994 2.26 0.23 2.40 0.17 0 0 0
1740133746.2134 2.18 0.24 2.40 0.17 0 0 0
1740133746.2189 2.18 0.24 2.20 0.24 0 0 0
1740133746.2270 2.08 0.32 2.20 0.24 0 0 0
1740133746.2431 1.99 0.40 2.20 0.24 0 0 0
1740133746.2443 1.99 0.40 2.00 0.40 0 0 0
1740133746.2581 1.89 0.42 2.00 0.40 0 0 0
1740133746.2696 1.89 0.42 1.90 0.42 0 0 0
1740133746.2732 1.89 0.60 1.90 0.42 0 0 0
1740133746.2877 1.86 0.69 1.90 0.42 0 0 0
1740133746.2939 1.86 0.69 1.90 0.69 0 0 0
1740133746.3026 1.77 0.76 1.90 0.69 0 0 0
1740133746.3178 1.76 0.85 1.90 0.69 0 0 0
1740133746.3195 1.76 0.85 1.80 0.85 0 0 0
1740133746.3322 1.74 0.92 1.80 0.85 0 0 0
1740133746.3442 1.74 0.92 1.70 0.92 0 0 0
1740133746.3484 1.72 1.02 1.70 0.92 0 0 0
1740133746.3634 1.68 0.96 1.70 0.92 0 0 0
1740133746.3690 1.68 0.96 1.70 0.96 0 0 0
1740133746.3790 1.64 0.96 1.70 0.96 0 0 0
1740133746.3926 1.60 1.03 1.70 0.96 0 0 0
1740133746.3944 1.60 1.03 1.60 1.00 0 0 0
1740133746.4081 1.57 1.09 1.60 1.00 0 0 0
1740133746.4197 1.57 1.09 1.60 1.10 0 0 0
1740133746.4228 1.55 1.21 1.60 1.10 0 0 0
1740133746.4377 1.49 1.15 1.60 1.10 0 0 0
1740133746.4438 1.49 1.15 1.50 1.10 0 0 0
1740133746.4538 1.49 1.09 1.50 1.10 0 0 0
1740133746.4675 1.49 1.22 1.50 1.10 0 0 0
1740133746.4690 1.49 1.22 1.50 1.20 0 0 0
1740133746.4835 1.37 1.52 1.50 1.20 0 0 0
1740133746.4942 1.37 1.52 1.40 1.50 0 0 0
1740133746.4985 1.31 1.56 1.40 1.50 0 0 0
1740133746.5138 1.24 1.68 1.40 1.50 0 0 0
1740133746.5195 1.24 1.68 1.20 1.70 0 0 0
1740133746.5274 1.16 1.71 1.20 1.70 0 0 0
1740133746.5432 1.12 1.71 1.20 1.70 0 0 0
1740133746.5443 1.12 1.71 1.10 1.70 0 0 0
1740133746.5582 1.12 1.73 1.10 1.70 0 0 0
1740133746.5694 1.12 1.73 1.10 1.70 0 0 0
1740133746.5731 1.13 1.78 1.10 1.70 0 0 0
1740133746.5875 1.10 1.75 1.10 1.70 0 0 0
1740133746.5938 1.10 1.75 1.10 1.80 0 0 0
1740133746.6025 1.04 1.73 1.10 1.80 0 0 0
1740133746.6179 1.07 1.76 1.10 1.80 0 0 0
1740133746.6197 1.07 1.76 1.10 1.80 0 0 0
1740133746.6329 1.05 1.75 1.10 1.80 0 0 0
1740133746.6438 1.05 1.75 1.00 1.80 0 0 0
1740133746.6479 0.96 1.77 1.00 1.80 0 0 0
1740133746.6640 0.97 1.84 1.00 1.80 0 0 0
1740133746.6689 0.97 1.84 0.97 1.80 0 0 0
1740133746.6786 0.87 1.98 0.97 1.80 0 0 0
1740133746.6921 0.79 1.97 0.97 1.80 0 0 0
1740133746.6941 0.79 1.97 0.79 2.00 0 0 0
1740133746.7087 0.65 2.06 0.79 2.00 0 0 0
1740133746.7190 0.65 2.06 0.65 2.10 0 0 0
1740133746.7231 0.59 2.09 0.65 2.10 0 0 0
1740133746.7381 0.09 2.45 0.65 2.10 0 0 0
1740133746.7437 0.09 2.45 0.09 2.50 0 0 0
1740133746.7536 0.06 2.52 0.09 2.50 0 0 0
1740133746.7675 -0.03 2.46 0.09 2.50 0 0 0
1740133746.7690 -0.03 2.46 -0.03 2.50 0 0 0
1740133746.7836 0.10 2.38 -0.03 2.50 0 0 0
1740133746.7941 0.10 2.38 0.10 2.40 0 0 0
1740133746.7980 0.26 2.28 0.10 2.40 0 0 0
1740133746.8141 0.21 2.13 0.10 2.40 0 0 0
1740133746.8193 0.21 2.13 0.21 2.10 0 0 0
1740133746.8280 0.37 2.22 0.21 2.10 0 0 0
1740133746.8424 0.41 2.11 0.21 2.10 0 0 0
1740133746.8445 0.41 2.11 0.41 2.10 0 0 0
1740133746.8585 0.47 2.07 0.41 2.10 0 0 0
1740133746.8695 0.47 2.07 0.47 2.10 0 0 0
1740133746.8719 0.50 2.05 0.47 2.10 0 0 0
1740133746.8874 0.62 1.98 0.47 2.10 0 0 0
1740133746.8946 0.62 1.98 0.62 2.00 0 0 0
1740133746.9029 0.61 1.94 0.62 2.00 0 0 0
1740133746.9193 0.62 2.02 0.61 1.90 0 0 0
1740133746.9188 0.62 2.02 0.61 1.90 0 0 0
1740133746.9340 0.67 1.99 0.61 1.90 0 0 0
1740133746.9445 0.67 1.99 0.67 2.00 0 0 0
1740133746.9474 0.61 1.99 0.67 2.00 0 0 0
