% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133744.6937 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6936631
1740133744.7036 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.7034888
1740133744.7150 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.714751
1740133744.7246 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.7244103
1740133744.7338 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.733727
1740133744.7443 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.744086
1740133744.7539 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.7538726
1740133744.7638 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.763674
1740133744.7740 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.7738864
1740133744.7837 0 drive robobot/cmd/ti/rc 0.250 0.999 1740133744.7835975
1740133744.7934 0 drive robobot/cmd/ti/rc 0.250 0.993 1740133744.793307
1740133744.8035 0 drive robobot/cmd/ti/rc 0.250 0.999 1740133744.8033504
1740133744.8142 0 drive robobot/cmd/ti/rc 0.250 0.977 1740133744.8141103
1740133744.8242 0 drive robobot/cmd/ti/rc 0.250 0.982 1740133744.8240156
1740133744.8339 0 drive robobot/cmd/ti/rc 0.250 0.965 1740133744.8337858
1740133744.8435 0 drive robobot/cmd/ti/rc 0.250 0.950 1740133744.8434947
1740133744.8535 0 drive robobot/cmd/ti/rc 0.250 0.937 1740133744.8533692
1740133744.8631 0 drive robobot/cmd/ti/rc 0.250 0.922 1740133744.8630724
1740133744.8739 0 drive robobot/cmd/ti/rc 0.250 0.912 1740133744.8738809
1740133744.8840 0 drive robobot/cmd/ti/rc 0.250 0.904 1740133744.8839023
1740133744.8938 0 drive robobot/cmd/ti/rc 0.250 0.878 1740133744.8937361
1740133744.9040 0 drive robobot/cmd/ti/rc 0.250 0.866 1740133744.903799
1740133744.9143 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.9140363
1740133744.9239 0 drive robobot/cmd/ti/rc 0.250 -0.982 1740133744.9238105
1740133744.9345 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.934242
1740133744.9439 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.94383
1740133744.9536 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.953583
1740133744.9636 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.9635172
1740133744.9735 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.9734414
1740133744.9841 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.9840298
1740133744.9941 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133744.993865
1740133745.0036 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0035398
1740133745.0136 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0134344
1740133745.0222 0 drive robobot/cmd/ti/alive 2025-02-21 11:29:02.769003
1740133745.0234 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0232582
1740133745.0341 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0340347
1740133745.0442 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0440216
1740133745.0538 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0537329
1740133745.0636 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.063452
1740133745.0736 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0733104
1740133745.0841 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0839858
1740133745.0943 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.0939794
1740133745.1039 0 drive robobot/cmd/ti/rc 0.250 -1.000 1740133745.1037383
